Title.,GLASS Window,GLASS Component/Experience,Explanation/Elaboration,Connection to UN Sustainable Development Goals/Grand Challenges,"Describe the impact this experience had on your professional, academic, and personal development/goals",Start Date,End Date,Links and Supplemental Information,Photos,Captions for Photos,Tandon Areas of Excellence,How did you find out about this opportunity?,Detailed Location,GLASS Funding Used,Semester
Computational neuroscience research (SUDEP) with my mentor,Academic Excellence,Research/Lab Work,Fall sophomore I began my first research project on machine learning and Sudden Unexpected Death in Epilepsy (SUDEP). I mainly focused on applying machine learning models to offline features extracted from EEG and EKG data.,"This is directly related to my grand challenge of reverse engineering the brain. Machine learning has uses for both application and understanding. For application, we can develop a classificaiton model to identify cases of SUDEP. For understanding, we can understand what features led to a positive or negative test result, thereby giving more insight into the mechanisms behind SUDEP.","This was my first time doing legit research. It gave me a lot of exposure into what applied machine learning research is like. While it hasn't definitively made me decide whether or not I want to do research post-grad, it definitely made me better understand what research is like. Additionally, it gave me more insight into potential machine learning applications for healthcare.",8/20/2020,1/1/2022,"My work eventually led to a paper where I was credited 2nd author:

https://www.frontiersin.org/articles/10.3389/fneur.2022.858333/full",,NA,Health,I went through a list of faculty on NYU Langone's directory and reach out to my PI.,"USA, California, Los Altos",No,"Fall/Winter Sophomore, Spring/Summer Sophomore "
Student Athlete Alumni Networking Event,Professional Development,Student Activity/Event/Club,"As a student-athlete, I was able to attend a alumni networking event specifically for varsity atheltes. I attended one for tech jobs.","Admittedly, I do not think these are directly related to my grand challenge. At the time, I had interviews for summer software engineering internships. While these internship roles were not specifically related to reverse engineering the brain, the practical skills and knowledge I gained were transferrable to my research project. I attended this event to get tips on coding interviews.","The most important thing I learned from this event was admitting when I did not know something. When I interviewed for Facebook, I was very honest on my lack of knowledge and still got an offer. Additionally, another tip I learned was to just come off as friendly, since my interviewer is also evaluating me on whether they would be willing to work with me. Because of this, I was also successful in my internship search the subsequent year.",10/16/2020,10/16/2020,"One of the alumni, Sarah Lensing, worked at Snap. I eventually worked at Snap my junior summer.

Another alumni worked at Google, and he used to be on the swim team.",,NA,,A newsletter for student athletes.,"USA, California, Los Altos",No,Fall/Winter Sophomore
Facebook Internship,Professional Development,Internship,"I interned at Facebook my sophomore summer. I was placed on the Instagram Growth Ranking Services team, where I added support for sparse features. I was able to finish early and got to train some machine learning models too.","While this does not directly relate to the grand challenges, the practical skills I gained were valuable. I learned a lot of new machine learning architectures and had my first exposure to software engineering. ","This internship gave me more insight into a career in software engineering. For now, I do plan on working in this industry during my gap years before grad school. I also developed a great relationship with my mentor who will also support me during my full-time job search. Having Facebook on my resume also definitely helped with my subsequent internship search for my junior summer.",5/24/2021,8/13/2021,"The bullet points that this added to my resume:

• Authored data pipelines that processed 900+ billions of rows and reduced compute usage by over 50% with efficient SQL queries

• Implemented backend in Python for including profile pictures in Instagram notifications, increasing click count by 3.8% and click rates by 1.8%

• Extracted and added support for sparse features to be used in ML models, increasing follows by 1.8% in A/B testing

• Explored different ML model architectures such as LambdaRank and performed hyperparameter tuning to achieve best test AUC performance

• The pipeline and sparse features were launched and are still being actively used today, ranking in the top 10 for feature importance",MVIMG_20210810_111746.jpg (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/bGuCCRH-7sqVbvieuaXUyQ/C_AegR_YQkq4HW96_BUZII8biDO7q4xB7WPJSfypNdi7xCOmjOqD4rD9kCkGRIn38zKoriOPj0bRmy8DYgk_rISGjD6dEUzevL5cpll_Ah8hXwKwZ7-vDdg_VmC5QXir1yj5eDq35Dn23NaWN9WX3bI9XvzOK9PWB7p-MgJJpQU/Pf7aYpdfWxRyyqYkX6kyx7zLC7oTXeZKM7S6PKNRUtQ),A pic of me wearing company merch,Data Science/AI/Robotics,Everybody knows about Facebook.,"USA, California, Menlo Park",Yes,Spring/Summer Sophomore 
Machine learning and chronic back pain,Academic Excellence,Research/Lab Work,I started my capstone project on machine learning and chronic back pain. I am interested in applications for classificaiton and also understanding the mechansms behind chornic back pain.,"Similar to my first research project, this is directly related to reverse engineering the brain. I am to use machine learning to better understand the mechanisms behind chronic back pain. Additionally, this study uses a non-intrusive and affordable data collection procedure. This will help improve accessibility for chronic back pain patients.","This project was my first time working on preprocessing EEG data. This helped me better understand one of the biggest challenges with AI and healthcare - quality and quantity of clean/trainable data. 

My mentor invited me to see one of the medical students perform the data collection. Seeing where the data was coming from in-person made me more motivated to delve more into this research project.",9/1/2021,5/10/2023,"I don't have direct documentation for this project, but I can confirm that I've been working on it throughout my junior year. I've included my research deliverable which does discuss this project in some detail.",,NA,"Health, Data Science/AI/Robotics",My mentor approached me with this project idea.,"USA, New York, New York",No,"Fall/Winter Junior , Spring/Summer Junior"
Alumni Networking Event,Professional Development,Internship,"Similar to my sophomore year, I attended a networking event for student athletes. Additionally, I set up a call with one of the swimmer alums (Martin Brekke) to ask for a Google referral.","This event was moreso related to my professional career in software engineering, which does have have direct connection to my goals in reverse engineering the brain.",Martin gave me a lot of valuable advice during our call. He emphasized the importance of diversity in exposure. This advice was one of the reasons why I decided to go to Snap for my next internship rather than going back to Facebook. It was also great to connect with another NYU swimmer and talk about our shared experiences.,9/14/2021,9/16/2021,"For documentation, I provided a picture of the email where I reached out to Martin.",,NA,,Newsletter,"USA, New York, New York",No,Fall/Winter Junior 
Snap Inc. Internship,Professional Development,Internship,"For my junior summer, I interned at Snap. I worked on the Perception team, where I focused on machine learning infra and engineering.","This internship was not directly related to my goals for reverse engineering the brain. However, I think this experience was valuable in terms of understanding how to build an infrastruscture to support high traffic. Hopefully, this experience will transfer over to my pursuits in health tech. ","Professionally, this internship was valuable because it was the first time I got to have a lot of ownership over my project. I got to make some design decisions for a testing tool I was making. I also made a lot of valuable connections and got a lot of tips about grad school. After finishing my internship, I started seeing some recruiters in my DMs too.",5/23/2022,8/19/2022,"• Created CLI tool in Golang for offline testing of graph execution, reducing time for MLEs to see ranking framework changes from weeks to minutes

• Built new retrieval source for contextual lens recommendation system based on visual embedding cosine similarity

• Added graph execution component for fetching and returning lens features from BigTable

• Increased count of unique lenses served in A/B with new retrieval source by over 300%, an OKR of Perception’s roadmap",IMG_1548.JPG (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/3_cUO3sf8iV7JRdzm8_dzA/Gtb19XE_IlRxcD_FmU0rZ-6aKMreaZjabHUdD0OQw7Y_1TUWkoIPMxIM51v3YglunYQPMgG1NBnC0n9KTe9TiTTJbM4l_f_WoPPkMp2Q2DtQ5m_hwVUv_5DWFaOpiI1g4PDlx48Ah-t5OLz5IrnAVw/aqlep6ExgULAO4q6arelJd8K4PP46VR_k_WzqN_dMWk),Me and my intern friends in front of a team hackathon award.,,Everyone knows about Snap.,"USA, New York, New York",Yes,Spring/Summer Junior
Broadridge UX Design Internship ,Professional Development,Internship,"During this internship, I helped make sure Broadridge product websites were ADA compliant. I also put together a report in which I evaluated usability heuristics of the websites and made suggestions for improvement. I also helped prototype some new designs of the websites. (I did NOT use GLASS funding but the form won't let me submit unless I check the box.)","This was related to the tenth SDG, reduced inequality. One way to do this in the digital field is to improve usability of web media for all users, especially by ensuring websites are accessible and ADA compliant. The project regarding the product websites I worked on is strictly confidential, so I cannot share any reports or presentations that I made.","This internship helped me further my professional goals by providing me with a corporate experience and teaching me to work with a professional team. The project was very finance and business oriented, so I had to get used to unfamiliar terminology quickly. I felt that I learned many principles of UX design, as well as how designers can have a big impact on the functionality of a producr. My manager was also very helpful and gave me a lot of career related advice. I got to out some of the skills I developed in classes to use and see the results in a business setting, which was very satisfying.",6/7/2021,8/20/2021,https://www.broadridge.com,,N/A,Emerging Media,I found the opportunity both through a Google search and applied directly on the company website.,Remote for Broadridge Financial Solutions Inc. during summer 2021,No,Spring/Summer Sophomore 
Good Research Conference by Colette Kolenda,Academic Excellence,Conference,This is a week long program of speakers and researchers. There were presentations on transitioning from academia to IX research in the field. I learned about best practices in UX research and the differences between human research in university versus in the corporate world.,Learning how to do proper human research and explore the relationship between humans and computers will impact how emerging technologies are developed and how they are used to help people across the world. I believe this can have an impact on grand challenges like advancing personalized learning or improving VR. ,"A lot of what I learned in this conference can help me apply skills I've built in my design classes to research in the professional world. Personally, I hope to use what I've learned to devise better technological systems for learning. It helped me understand what kind of human computer interaction research I could potentially explore in academia and how that relates to the rest of the world.",6/13/2022,6/17/2022,https://goodresearch.joinlearners.com/,,n/a,Emerging Media,I found out about this from a fellow IDM student who is a year above me.,This conference took place remotely.,No,Spring/Summer Junior
VISIONS,Commitment to Service,Volunteer Event/Experience,I helped design paper pamphlets and media posts for a nonprofit in New York called VISIONS - Services for the Blind and Visually Impaired. These designs helped promote a new project that the organization was launching called In Plane Sight. ,"In this project, students who are visually impaired learn engineering skills hands-on by learning how to build a plane. This relates to UN Sustainable Development Goals number 4) Quality Education and 8) Decent Work and Economic Growth. Helping promote this project will help people with disabilities obtain a more engaging education by learning engineering skills. It will also help people of all abilities find full and productive employment.","I was able to use my professional digital design work in this service task, which was really encouraging. I hadn't considered before that I could use design skills in a service-oriented manner. This experience also taught me that it is perfectly acceptable and easy to just reach out to nonprofits and ask what you can do for them. It was really fun to be able to use my skills to help a project that would help others. It made the work I was doing really meaningful. Not only did I get a project out of it for my professional portfolio, but I learned new skills and felt like I developed as a person as well.",4/4/2022,5/4/2022,https://visionsvcb.org/,Instagram post - 1 (v2).png (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/RaG4YnSd08DkD0BW440GfQ/mW4LdrqObYA0wNhlcaEL-9ay-psy91QSCvdVZZ3uH4Jn5ET1aw3iKYTm7LjUuwfb7LLc3NyBhuMN6-6XYLqaCPCTuU_AYvGaN-TB2tDZnkZ50IWAB6Rodwr2EpR27WILjQ8SfkublVH0kDPwl_kucAHicdYOZSWi-BxYPy-69E4/NBskDf9HPgkEyYz19b_S03EPoxXxHZLB4UQq-N2xvgI),Instagram post,"Emerging Media, Health","In our GLASS seminar course, we had to complete service hours. I reached out to a bunch of nonprofit organizations in the city to see what work I could do.",This service work was completed online,No,Spring/Summer Junior
Study Abroad Semester,Global Competency,Study Abroad,"I studied abroad for my spring semester of junior year in Seoul, Korea at Korea University. While I was there, I learned a lot more about the language and culture of Korea by going on trips with other students, joining clubs, and immersing myself as much as possible. I was also able to study some interesting topics in psychology and cognitive science from a different perspective while I was there. ","I believe this experience can indirectly relate to a lot of the goals. For one, it relates to a quality education because I personally was able to receive a more enriching and global education through the GLASS program which would have been more difficult to do otherwise. It also relates to goal number 10, which is to reduce inequality within and among countries. By understanding more about another culture and teaching people in another country about myself, citizens of our two countries can learn more about each other, which hopefully contributes to reduced prejudice and fear of others simply because of unfamiliarity or cultural differences. This is especially important when developing new technologies and engineering because those in charge have power over whether biases are encoded into certain designs.","I believe I gained a lot of personal development from this experience. I learned about etiquette in a new country and even discussed politics and the economy on a global level with students my age who have had a completely different experience from me. Academically, I improved on a second language and expanded my knowledge of psychology and cognitive science and how that can apply to designing for human use. This also will help me in my professional endeavors to learn more about human-computer interaction and do more research. Overall, it was a fun and enriching part of my GLASS college experience.",2/9/2022,12/15/2022,"https://www.korea.edu/mbshome/mbs/en/index.do 

https://airtable.com/shrtcGLlGeQcn0WpX/tblrYRlD1G4CNKFcN ","IMG_5371.HEIC (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/KIUdE-TeerCSWL39YXbjKg/CeziYyXq8ub8--CI09dEmnYwOcr9aYOPN72BB5DE93obaRP1yvMDA3y2_lki0WIxmqngI1ZW3piq2FpHvHAJE3BlF4iMrXYvUPt3yR-ZBkrYwFMZveEECGNvQQH84TK23pVxJ9PO8YWaZ1YmeSBd2Q/r7tbubGt38_im40FooQVZqbSa0L3vszj8TFtWym2fiE),IMG_3274.JPG (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/MCtKP7u_5m9MLxLIWZ7wAA/1WnK3WUqExyMFcanaDaRSZ4kFgTApl8qjGv68RK-nvglmL-4ctS54a7OOmMbU4-SeAR37dKAEoxobk8xyVuPE4xacJNmsVYh-30X1xFCHRsW0cFo9lK3_-vB3miX9EFpFKJKpMztPWlrbgTjZlX1Zw/deZiVU44jSwUw-r7QThenUP2hoPIwUgHi5s99M17DAc),IMG_3120.JPG (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/oq2GsUbQlz9Wr8A-Q1prVQ/gv7wvzsTzXgbvCbCI2w3c6PLIfHAFZmAeUWzGC-DUiZ2KPCMxghDEesftf7K7CXE1vDq-OUQNrGmAKYBennBvhM_Xk7-GbAyBsnOfkrRsODGtQpwmlC7S-LicWTGdP4XiPKhFfiio5uFs3JgPPEWfQ/3YhLZpTv0vWZyR4JVf1t-GHYjg2RQctPwH3lcFGIQD4),IMG_2942 2.HEIC (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/LUxEiFALv3vTtnCicpiDAg/BvIxKPhs_Oox61OMRg-PaJcVllW2-0hvGv6K7NwMCKhY0xee7P8YYSQA8stCSThR80lVYdB_G6mtZooE6i-KSiKQoQsTjTRcgyTsAICXAI0MIiMTcYI7uWlGzcgqRoLzVurwusJ17cho-sQtjxjvCg/gWKZpeTinxJPItUwf7JKAHUS_5dTETciHkf5b4tCR5A),IMG_1783.HEIC (https://v5.airtableusercontent.com/v3/u/33/33/1728007200000/yjmZFHE5dT5wfGoNAIS2pA/VzAxmGLYpX3laJRoZ9IYmboZ2Yi6pV0mP9QhMgjaW46zC_lO9bKNLqkVvo9rBWivH9syCe7Z90tWyMllb6TcmQTAFQtTP0R6zqAw0xWFvOibLR2sPKqrwgEtBFlWx5TEHsoc3uNNp3DOpdTCzNgB0Q/HsDhN-LDargv4wE8r_b5s0K39cvHFsEdyKjH76AtnXQ)","Cherry blossoms in Changwon, Climbing to the top of Bukhansan, Eunpyeong hanok village, Gyeongbokgung",,I found out through the GLASS program and NYU global advisors. ,"Seoul, Korea at Korea University",Yes,Spring/Summer Junior
